21	41	Robbie Poacherman	FWD	Common
22	43	Gigio Youngwall	GK	Uncommon
23	45	Keylor Shotstopper	GK	Uncommon
24	47	Hugo Captainwall	GK	Uncommon
25	48	Raphael Speedguard	DEF	Uncommon
26	50	Leo Libero	DEF	Uncommon
27	52	Milan Steelblock	DEF	Uncommon
28	54	Aymeric Calmrock	DEF	Uncommon
29	56	Marcus Steadyback	DEF	Uncommon
30	58	Trent Longrange	DEF	Uncommon
31	59	Frenkie Turnmaster	MID	Uncommon
32	61	Marco Smallmaestro	MID	Uncommon
33	63	Milo Anchorman	MID	Uncommon
34	65	Joshi Allrounder	MID	Uncommon
35	67	Ilkay Silkfoot	MID	Uncommon
36	69	Granit Longshot	MID	Uncommon
37	72	Olivier Scorpionkick	FWD	Uncommon
38	74	Edi Matador	FWD	Uncommon
39	76	Antoine Iceman	FWD	Uncommon
40	78	Alvaro Backpost	FWD	Uncommon
41	81	Jan Stonehands	GK	Rare
42	83	Thibaut Skytower	GK	Rare
43	85	Marcelo Sambaflank	DEF	Rare
44	87	Dani Overlap	DEF	Rare
45	89	Kalidou Rockback	DEF	Rare
46	91	Jordi Leftside	DEF	Rare
47	93	Flip Fullback	DEF	Rare
48	94	Xabi Longpass	MID	Rare
49	96	Toni Precision	MID	Rare
50	98	Mesut Assistking	MID	Rare
51	100	Isco Maestrito	MID	Rare
52	104	Karim Leroi	FWD	Rare
53	106	Robert Aerialking	FWD	Rare
54	108	Harry Towerstrike	FWD	Rare
55	110	Mo Pharaoh	FWD	Rare
56	111	Edwin van der Wall	GK	Epic
57	113	Great Dane Peterson	GK	Epic
58	114	Giorgio Muroblu	DEF	Epic
59	116	Thiago Monster	DEF	Epic
60	118	Gerard Barcaback	DEF	Epic
61	121	Michael Cannonshot	MID	Epic
62	123	Bastian Ironengine	MID	Epic
63	125	Patrick Generalov	MID	Epic
64	127	Yaya Powerhouse	MID	Epic
65	129	Fernando Redwolf	FWD	Epic
66	131	David Ironstrike	FWD	Epic
67	133	Big Al Goalmachine	FWD	Epic
68	135	Oliver Steelmask	GK	Elite
69	137	Dave Safehands	GK	Elite
70	138	John Ironcaptain	DEF	Elite
71	140	Beto Cannonfoot	DEF	Elite
72	142	Sandro Classico	DEF	Elite
73	144	Frank Timingman	MID	Elite
74	146	N'Golo Enginesen	MID	Elite
75	148	Steven Longrange	MID	Elite
76	150	Titus Highbury	FWD	Elite
77	152	Luis Pistolen	FWD	Elite
78	155	Petr Helmetson	GK	Ultra
79	157	Rio Composure	DEF	Ultra
80	159	Fabio Titanguard	DEF	Ultra
81	161	Carles Lionmane	DEF	Ultra
82	162	Andrea Longvision	MID	Ultra
83	164	Luka Generalson	MID	Ultra
84	167	Leo Magicfoot	FWD	Ultra
85	169	Samuel Lionclaw	FWD	Ultra
86	171	Iker Sanpedro	GK	Legendary
87	173	Sergio Ironclad	DEF	Legendary
88	175	Virgil Wallsen	DEF	Legendary
89	176	Xavi Metronome	MID	Legendary
90	178	Kevin Skyvision	MID	Legendary
91	180	Diego Napolimagic	FWD	Legendary
92	183	Manu Sweeperking	GK	Mythic
93	185	Paolo Ironheart	DEF	Mythic
94	187	Andres Finalista	MID	Mythic
95	189	Cristiano Golden Boot	FWD	Mythic
96	191	Gigi Ironwall	GK	Icon
97	193	Franz Kaiserlin	DEF	Icon
98	195	Zeno Volleyking	MID	Icon
99	197	Lev Steelcatch	GK	GOAT
100	200	Edson Black Pearl	FWD	GOAT
101	201	World XI Captain	FWD	Legendary
102	202	Golden Boot Star	MID	Legendary
103	203	Iron Wall Elite	DEF	Legendary
